name,value,rank,year,lastValue
C,33881,10,13,31154
I,39534,9,13,36177
E,39769,8,13,37901
H,40324,7,13,36866
G,41333,6,13,37034
A,42027,5,13,39616
F,44619,4,13,43226
B,47943,3,13,45713
D,50058,2,13,49366
J,57703,1,13,52978
C,37572,10,14,33881
E,42110,9,14,39769
I,42258,8,14,39534
H,43190,7,14,40324
A,43624,6,14,42027
G,43860,5,14,41333
F,47356,4,14,44619
B,49197,3,14,47943
D,51378,2,14,50058
J,63147,1,14,57703
C,39239,10,15,37572
I,42506,9,15,42258
E,44374,8,15,42110
H,46086,7,15,43190
A,47282,6,15,43624
G,47944,5,15,43860
F,49364,4,15,47356
B,51742,3,15,49197
D,54221,2,15,51378
J,64464,1,15,63147
C,41492,10,16,39239
A,47357,9,16,47282
H,47378,8,16,46086
I,47399,7,16,42506
E,49006,6,16,44374
G,50945,5,16,47944
F,52249,4,16,49364
B,55389,3,16,51742
D,57025,2,16,54221
J,66611,1,16,64464
C,42884,10,17,41492
H,49266,9,17,47378
I,50636,8,17,47399
A,50854,7,17,47357
E,51945,6,17,49006
G,53851,5,17,50945
F,53966,4,17,52249
B,56978,3,17,55389
D,60688,2,17,57025
J,66860,1,17,66611
C,46738,10,18,42884
H,52159,9,18,49266
A,52383,8,18,50854
I,52592,7,18,50636
E,53550,6,18,51945
G,56143,5,18,53851
F,57495,4,18,53966
B,58973,3,18,56978
D,64797,2,18,60688
J,71691,1,18,66860
C,50457,10,19,46738
I,54590,9,19,52592
H,54674,8,19,52159
E,55989,7,19,53550
A,57064,6,19,52383
G,60507,5,19,56143
F,61851,4,19,57495
B,64343,3,19,58973
D,65032,2,19,64797
J,72790,1,19,71691
C,52459,10,20,50457
I,55066,9,20,54590
H,57255,8,20,54674
A,58960,7,20,57064
E,60981,6,20,55989
G,64649,5,20,60507
F,65007,4,20,61851
D,65892,3,20,65032
B,67281,2,20,64343
J,73901,1,20,72790
C,57575,10,21,52459
I,58000,9,21,55066
A,60778,8,21,58960
H,62000,7,21,57255
E,64455,6,21,60981
D,67625,5,21,65892
F,69287,4,21,65007
G,70101,3,21,64649
B,72034,2,21,67281
J,78601,1,21,73901
C,60897,10,22,57575
I,62964,9,22,58000
A,65181,8,22,60778
H,66557,7,22,62000
E,68280,6,22,64455
D,72553,5,22,67625
F,73231,4,22,69287
G,75500,3,22,70101
B,77116,2,22,72034
J,80989,1,22,78601
C,62754,10,23,60897
A,65662,9,23,65181
I,68026,8,23,62964
H,68498,7,23,66557
E,71939,6,23,68280
G,75798,5,23,75500
F,77578,4,23,73231
D,77909,3,23,72553
B,80958,2,23,77116
J,85037,1,23,80989
